,ticker,frequency,score
437,XEL,1.0,12.0
529,CVX,1.0,12.0
436,UNP,1.0,12.0
434,GPS,1.0,12.0
85,VTGN,1.0,12.0
413,BFI,1.0,12.0
517,AREC,1.0,12.0
370,CAKE,1.0,12.0
491,MET,1.0,12.0
579,DDS,1.0,12.0
149,ENOB,1.0,12.0
377,UBS,1.0,12.0
509,SEAS,1.0,12.0
463,EYE,1.0,12.0
307,CNA,2.0,12.0
198,RICK,1.0,11.0
217,IVR,1.0,11.0
601,TLS,1.0,11.0
600,FOX,1.0,11.0
597,ALEX,1.0,11.0
273,PGNY,1.0,11.0
558,AIR,1.0,11.0
364,CTXR,1.0,11.0
524,CCJ,1.0,11.0
179,KMI,1.0,11.0
182,STLD,1.0,11.0
256,JBLU,1.0,11.0
594,TOPS,1.0,10.0
336,AUY,1.0,10.0
439,WAT,1.0,10.0
88,RIG,1.0,10.0
334,FCX,1.0,10.0
428,WBA,1.0,10.0
335,KGC,1.0,10.0
293,RAIL,1.0,10.0
186,OSK,1.0,10.0
457,FNKO,1.0,10.0
138,MCFE,1.0,10.0
337,PAAS,1.0,10.0
467,DIT,1.0,10.0
338,EQX,1.0,10.0
514,CPB,1.0,10.0
502,ITT,1.0,10.0
513,CENT,1.0,10.0
358,APPN,1.0,10.0
363,SONY,1.0,9.0
159,EVFM,1.0,9.0
344,EEIQ,1.0,9.0
408,HIMS,1.0,9.0
40,ZIM,1.0,9.0
511,NTB,1.0,9.0
459,ACT,1.0,9.0
90,RAD,1.0,9.0
603,MILE,1.0,9.0
129,DVD,1.0,9.0
373,RCL,1.0,9.0
259,GLTA,1.0,9.0
359,BAH,1.0,9.0
411,NUAN,1.0,9.0
394,GRWG,1.0,8.0
372,LPL,1.0,8.0
303,MIN,1.0,8.0
172,FLOW,1.0,8.0
595,BST,1.0,8.0
426,ACY,1.0,8.0
189,GOTU,1.0,8.0
440,NAT,1.0,8.0
95,DAWN,1.0,8.0
460,ACAD,1.0,8.0
277,REV,1.0,8.0
188,IPA,1.0,8.0
415,ELY,1.0,7.0
281,SITE,1.0,7.0
349,GRPN,1.0,7.0
531,GNRC,1.0,7.0
350,PING,1.0,7.0
286,ANVS,1.0,7.0
282,OTLY,1.0,7.0
315,POOL,1.0,7.0
162,TEN,1.0,7.0
100,DOYU,1.0,7.0
422,CWH,1.0,7.0
346,LUCD,1.0,7.0
604,AGI,1.0,6.0
605,RARE,1.0,6.0
533,TRVG,1.0,6.0
310,FANG,1.0,6.0
297,POSH,1.0,6.0
59,AYRO,1.0,6.0
287,GPOR,1.0,5.0
65,DTC,1.0,5.0
530,VRTX,1.0,4.0
532,PACB,1.0,3.0
607,TMUS,1.0,3.0
503,REE,1.0,1.0
